name,category,modalisp,url
mlys.strike.mxo,connections,(make-connection 'strike),https://support.ircam.fr/docs/Modalys/current/Connections/connection_strike.html
mlys.hole.mxo,connections,(make-connection 'hole),https://support.ircam.fr/docs/Modalys/current/Connections/connection_hole.html
mlys.position.mxo,connections,(make-connection 'position),https://support.ircam.fr/docs/Modalys/current/Connections/connection_position.html
mlys.felt.mxo,connections,(make-connection 'felt),https://support.ircam.fr/docs/Modalys/current/Connections/connection_felt.html
mlys.force.mxo,connections,(make-connection 'force),https://support.ircam.fr/docs/Modalys/current/Connections/connection_force.html
mlys.labium.mxo,connections,(make-connection 'labium),https://support.ircam.fr/docs/Modalys/current/Connections/connection_labium.html
mlys.pluck.mxo,connections,(make-connection 'pluck),https://support.ircam.fr/docs/Modalys/current/Connections/connection_pluck.html
mlys.speed.mxo,connections,(make-connection 'speed),https://support.ircam.fr/docs/Modalys/current/Connections/connection_speed.html
mlys.normalised-valve.mxo,connections,(make-connection 'normalised-valve),https://support.ircam.fr/docs/Modalys/current/Connections/connection_valve_normalised.html
mlys.point-input.mxo,input-output,(make-point-input),https://support.ircam.fr/docs/Modalys/current/Workspace/workspace_point_input.html
mlys.point-output.mxo,input-output,(make-point-output),https://support.ircam.fr/docs/Modalys/current/Workspace/workspace_point_output.html
mlys.signal.mxo,controllers,(make-controller 'signal),https://support.ircam.fr/docs/Modalys/current/Controllers/controller_signal.html
mlys.lua.mxo,controllers,,https://support.ircam.fr/docs/Modalys/current/Controllers/controller_lua.html
mlys.dynamic.mxo,controllers,(make-controller 'dynamic),https://support.ircam.fr/docs/Modalys/current/Controllers/controller_dynamic.html
mlys.arithmetic.mxo,controllers,(make-controller 'arithmetic),https://support.ircam.fr/docs/Modalys/current/Controllers/controller_arithmetic.html
mlys.spread.mxo,controllers,(make-controller 'spread),https://support.ircam.fr/docs/Modalys/current/Controllers/controller_dimension_spread.html
mlys.access-speed.mxo,controllers,(make-controller 'access-speed),https://support.ircam.fr/docs/Modalys/current/Controllers/controller_access_speed.html
mlys.sine.mxo,controllers,(make-controller 'sine),https://support.ircam.fr/docs/Modalys/current/Controllers/controller_sine.html
mlys.access-force.mxo,controllers,(make-controller 'access-force),https://support.ircam.fr/docs/Modalys/current/Controllers/controller_access_force.html
mlys.expression.mxo,controllers,(make-controller 'expression),https://support.ircam.fr/docs/Modalys/current/Controllers/controller_expression.html
mlys.scale.mxo,controllers,(make-controller 'scale),https://support.ircam.fr/docs/Modalys/current/Controllers/controller_scale.html
mlys.access-position.mxo,controllers,(make-controller 'access-position),https://support.ircam.fr/docs/Modalys/current/Controllers/controller_access_position.html
mlys.phasor.mxo,controllers,,
mlys.collector.mxo,kernel,,
mlys.script.mxo,kernel,,
modalys~.mxo,kernel,,
